15:15:50: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 46] Logger initialized for Command Worker
15:15:50: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 60] Command object created successfully
15:15:50: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] Received telemetry: pos=(0.00, 0.00, 29.00), yaw=0.00
15:15:50: [DEBUG] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 94] No previous telemetry for velocity calculation
15:15:50: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 157] CHANGE ALTITUDE: 1.00
15:15:50: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] Received telemetry: pos=(0.00, 0.00, 31.00), yaw=0.00
15:15:50: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity vector: (0.0, 0.0, 2.0) m/s
15:15:51: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 157] CHANGE ALTITUDE: -1.00
15:15:51: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] Received telemetry: pos=(0.00, 0.00, 30.20), yaw=1.11
15:15:51: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity vector: (0.0, 0.0, -0.8000000000000007) m/s
15:15:51: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] Received telemetry: pos=(0.00, 0.00, 29.80), yaw=1.11
15:15:51: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity vector: (0.0, 0.0, -0.3999999999999986) m/s
15:15:52: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] Received telemetry: pos=(0.00, 0.00, 30.00), yaw=1.11
15:15:52: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity vector: (0.0, 0.0, 0.1999999999999993) m/s
15:15:53: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] Received telemetry: pos=(0.00, 0.00, 30.00), yaw=1.14
15:15:53: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity vector: (0.0, 0.0, 0.0) m/s
15:15:53: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] Received telemetry: pos=(0.00, 0.00, 30.00), yaw=1.07
15:15:53: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity vector: (0.0, 0.0, 0.0) m/s
15:15:54: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] Received telemetry: pos=(0.00, 0.00, 30.00), yaw=0.00
15:15:54: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity vector: (0.0, 0.0, 0.0) m/s
15:15:54: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 174] CHANGE YAW: 63.43
15:15:54: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] Received telemetry: pos=(10.00, 0.00, 30.00), yaw=0.00
15:15:54: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity vector: (10.0, 0.0, 0.0) m/s
15:15:54: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 174] CHANGE YAW: 90.00
15:15:55: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] Received telemetry: pos=(20.00, 0.00, 30.00), yaw=0.00
15:15:55: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity vector: (10.0, 0.0, 0.0) m/s
15:15:55: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 174] CHANGE YAW: 116.57
15:15:55: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] Received telemetry: pos=(30.00, 0.00, 30.00), yaw=1.57
15:15:55: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity vector: (10.0, 0.0, 0.0) m/s
15:15:55: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 174] CHANGE YAW: 45.00
15:15:56: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] Received telemetry: pos=(30.00, 10.00, 30.00), yaw=1.57
15:15:56: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity vector: (0.0, 10.0, 0.0) m/s
15:15:56: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 174] CHANGE YAW: 63.43
15:15:56: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] Received telemetry: pos=(30.00, 20.00, 30.00), yaw=1.57
15:15:56: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity vector: (0.0, 10.0, 0.0) m/s
15:15:56: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 174] CHANGE YAW: 90.00
15:15:57: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] Received telemetry: pos=(30.00, 30.00, 30.00), yaw=3.14
15:15:57: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity vector: (0.0, 10.0, 0.0) m/s
15:15:57: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 174] CHANGE YAW: 26.57
15:15:57: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] Received telemetry: pos=(20.00, 30.00, 30.00), yaw=-3.14
15:15:57: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 91] Average velocity vector: (-10.0, 0.0, 0.0) m/s
15:15:57: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 174] CHANGE YAW: 45.00
15:15:58: [INFO] [C:\Users\Happy\Desktop\WARG Autonomy Bootcamp\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 75] Received telemetry: pos=(10.00, 30.00, 30.00), yaw=3.14
